epoch,accuracy,loss,val_accuracy,val_loss
0,0.7134257555007935,0.574768602848053,0.7112231254577637,0.5720560550689697
1,0.7205255627632141,0.5667009949684143,0.7089033126831055,0.5730246901512146
2,0.7197455763816833,0.5681890845298767,0.7101032137870789,0.5726733803749084
3,0.7185856103897095,0.5703643560409546,0.7113831043243408,0.5730016827583313
4,0.7169856429100037,0.5734246969223022,0.7141828536987305,0.575235903263092
5,0.7149657011032104,0.5768185257911682,0.7065834999084473,0.5834808349609375
6,0.7133457064628601,0.5810186266899109,0.6959443092346191,0.5959579348564148
7,0.7109657526016235,0.5856824517250061,0.6879449486732483,0.6057953238487244
8,0.7087858319282532,0.5906674265861511,0.6907447576522827,0.6010201573371887
9,0.7045459151268005,0.5959118604660034,0.6951444149017334,0.5953736305236816
10,0.7009660005569458,0.6017299294471741,0.6896248459815979,0.5988189578056335
11,0.6985860466957092,0.6076182723045349,0.678745687007904,0.6063370704650879
12,0.6968660354614258,0.6151801347732544,0.6676266193389893,0.6152243614196777
13,0.6929861307144165,0.6235260963439941,0.652827799320221,0.6304464936256409
14,0.6903061866760254,0.6320700645446777,0.627629816532135,0.6571372151374817
15,0.6874462366104126,0.6399716734886169,0.59211266040802,0.6942588090896606
16,0.6856262683868408,0.6482259631156921,0.5737140774726868,0.7202273607254028
17,0.6840463280677795,0.6570111513137817,0.5476362109184265,0.7524887919425964
18,0.681666374206543,0.665562093257904,0.5106791257858276,0.8081114292144775
19,0.6799263954162598,0.6740661859512329,0.4900408089160919,0.8655146360397339
20,0.6789464354515076,0.6817483305931091,0.4762018918991089,0.9251598119735718
21,0.6771064400672913,0.6906611323356628,0.45164385437965393,0.9882163405418396
22,0.6743265390396118,0.6995051503181458,0.44772419333457947,1.0540968179702759
23,0.6730865240097046,0.7064951062202454,0.48188143968582153,1.0190094709396362
24,0.672186553478241,0.7168359160423279,0.506599485874176,0.9520770907402039
25,0.6703665852546692,0.7287574410438538,0.5299575924873352,0.8822253346443176
26,0.6684666275978088,0.7412168979644775,0.5653947591781616,0.7792618274688721
27,0.6663866639137268,0.7533586025238037,0.6305095553398132,0.6686948537826538
28,0.6647067070007324,0.7650641798973083,0.656107485294342,0.6301640272140503
29,0.6638267040252686,0.7766645550727844,0.6667466759681702,0.6156952977180481
30,0.6641266942024231,0.788439929485321,0.6844252347946167,0.6001970767974854
31,0.6642067432403564,0.8008803129196167,0.7004239559173584,0.5871158242225647
32,0.6617267727851868,0.816088855266571,0.7013038992881775,0.585549533367157
33,0.660406768321991,0.831272542476654,0.6938644647598267,0.5981123447418213
34,0.6576468348503113,0.8445594310760498,0.6541076898574829,0.6477938890457153
35,0.6581268310546875,0.8571368455886841,0.6121910214424133,0.7176403999328613
36,0.6563068628311157,0.8707082867622375,0.5769938230514526,0.8049168586730957
37,0.6553868651390076,0.8865196108818054,0.6598672270774841,0.7429003119468689
38,0.6553668975830078,0.8925014734268188,0.6570674180984497,0.6792870759963989
39,0.6541869044303894,0.9041549563407898,0.6593872308731079,0.6614699959754944
40,0.6532669067382812,0.9184982776641846,0.6500279903411865,0.6776646971702576
41,0.6515869498252869,0.9328343272209167,0.6474682092666626,0.6824270486831665
42,0.650646984577179,0.9453178644180298,0.6369090676307678,0.7110577821731567
43,0.6509270071983337,0.9482554197311401,0.6408287286758423,0.7131263017654419
44,0.6503069996833801,0.9630813002586365,0.6388288736343384,0.7291091084480286
45,0.6505669951438904,0.9736952781677246,0.6327493786811829,0.7643742561340332
46,0.6493670344352722,0.9856441020965576,0.64234858751297,0.746493935585022
47,0.6491470336914062,0.9997686147689819,0.6542676687240601,0.7460736632347107
48,0.650367021560669,1.0101691484451294,0.649948000907898,0.83448326587677
49,0.6494070291519165,1.0270984172821045,0.6911447048187256,0.6679399013519287
